Date;FCI_house_BE;FCI_corpo_BE;FCI_gov_BE;FCI_total_BE;FCI_house_FR;FCI_corpo_FR;FCI_gov_FR;FCI_total_FR;FCI_house_GE;FCI_corpo_GE;FCI_gov_GE;FCI_total_GE;FCI_house_IT;FCI_corpo_IT;FCI_gov_IT;FCI_total_IT;FCI_house_LU;FCI_corpo_LU;FCI_gov_LU;FCI_total_LU;FCI_house_NT;FCI_corpo_NT;FCI_gov_NT;FCI_total_NT;FCI_house_SP;FCI_corpo_SP;FCI_gov_SP;FCI_total_SP;FCI_house_EU;FCI_corpo_EU;FCI_gov_EU;FCI_total_EU
31/12/2018;0.280299991;0.710799992;-0.213599995;0.701799989;0.0042;-0.2192;0.244100004;-0.212400004;-0.216700003;0.083700001;0.297100008;0.0438;0.271800011;0.825200021;0.431600004;0.794399977;0.282599986;1.043599963;0.706200004;1.031499982;0.0107;0.284799993;0.314300001;0.31189999;0.069899999;-0.144299999;-0.380899996;-0.1017;0.531400025;0.92869997;0.887199998;0.943599999
31/03/2019;0.171200007;0.657500029;-0.312299997;0.643700004;0.127900004;-0.147400007;0.0306;-0.138500005;-0.146699995;0.158099994;0.1523;0.121399999;0.429800004;0.890699983;0.230000004;0.867399991;0.132799998;0.873099983;0.3222;0.858900011;0.203199998;0.271699995;0.050299998;0.299499989;0.139400005;-0.189400002;-0.441599995;-0.151800007;0.575699985;0.975600004;0.789600015;0.99089998
30/06/2019;-0.0502;0.421400011;-0.574599981;0.404700011;0.125100002;-0.205200002;-0.295399994;-0.194499999;-0.138999999;0.072999999;-0.181899995;0.0403;0.485799998;0.634599984;-0.2227;0.630900025;0.0016;0.5898;-0.334500015;0.577700019;0.370299995;0.136500001;-0.358900011;0.1699;0.186199993;-0.319299996;-0.606599987;-0.321500003;0.564899981;0.774200022;0.467599988;0.798699975
30/09/2019;-0.441100001;-0.054400001;-0.784300029;-0.072999999;-0.083700001;-0.336699992;-0.466500014;-0.32949999;-0.291999996;-0.202299997;-0.476700008;-0.235400006;0.265500009;0.221900001;-0.567200005;0.228100002;-0.168200001;0.152700007;-0.908900023;0.147400007;0.339300007;-0.231199995;-0.749100029;-0.2042;0.115199998;-0.190200001;-0.789300025;-0.197600007;0.397300005;0.269800007;-0.0307;0.3037
31/12/2019;-0.561699986;-0.335599989;-0.687900007;-0.348699987;-0.2236;-0.506500006;-0.317999989;-0.498400003;-0.46360001;-0.484200001;-0.497799993;-0.5176;-0.035100002;-0.182300001;-0.552999973;-0.172800004;-0.191300005;-0.142499998;-1.274999976;-0.142499998;0.140799999;-0.416599989;-0.726199985;-0.396600008;-0.051399998;-0.077;-0.75120002;-0.103600003;0.199300006;-0.035500001;-0.031599998;0.001
31/03/2020;-0.640900016;-0.354600012;-0.606299996;-0.371100008;-0.372599989;-0.433999985;-0.397599995;-0.433200002;-0.636900008;-0.3926;-0.503600001;-0.44690001;-0.0057;-0.245700002;-0.504599988;-0.230399996;-0.266200006;-0.180899993;-1.572999954;-0.184900001;-0.0079;-0.504000008;-0.80309999;-0.493699998;-0.068700001;0.336800009;-0.702199996;0.401199996;-0.0027;-0.0405;-0.260699987;-0.0113
30/06/2020;-0.703100026;-0.223399997;-0.662599981;-0.25150001;-0.248099998;-0.035100002;-0.610899985;-0.0436;-0.795700014;-0.136700004;-0.852100015;-0.222900003;0.202000007;-0.0339;-0.485100001;-0.0151;-0.204799995;-0.055799998;-1.866299987;-0.0623;-0.067199998;-0.43689999;-0.883400023;-0.447600007;0.039000001;0.799300015;-0.701600015;0.994099975;-0.213100001;-0.141200006;-1.363199949;-0.114399999
30/09/2020;-0.737299979;-0.309799999;-0.643899977;-0.336699992;-0.314099997;-0.190200001;-0.999499977;-0.197099999;-0.801900029;-0.379999995;-1.362800002;-0.4551;0.169400007;-0.145799994;-0.928600013;-0.121600002;-0.245100006;-0.093500003;-2.301599979;-0.099399999;-0.343600005;-0.637099981;-1.158699989;-0.666899979;0.070299998;0.440499991;-0.962899983;0.522199988;-0.623700023;-1.081099987;-2.021199942;-1.035099983
31/12/2020;-0.783699989;-0.504400015;-0.670000017;-0.523800015;-0.4736;-0.436100006;-1.249899983;-0.440899998;-0.914600015;-1.002200007;-1.733299971;-1.055199981;0.093400002;-0.694400012;-1.5977;-0.642700016;-0.361999989;-0.207800001;-2.244400024;-0.2104;-0.514900029;-0.87650001;-1.359200001;-0.918900013;-0.032400001;0.2086;-1.204900026;0.183899999;-1.083999991;-1.947399974;-2.292299986;-1.894799948
31/03/2021;-0.985199988;-0.754499972;-0.263399988;-0.769699991;-0.932799995;-0.886699975;-0.861699998;-0.89319998;-1.260900021;-1.643100023;-1.219200015;-1.690799952;-0.663200021;-1.559399962;-1.664299965;-1.510800004;-0.665199995;-0.800300002;-1.999500036;-0.7949;-0.767799973;-1.237400055;-1.244199991;-1.291200042;-0.546899974;0.194000006;-1.103600025;0.045200001;-1.16779995;-1.760900021;-1.715800047;-1.728000045
30/06/2021;-1.153599977;-1.057399988;0.159199998;-1.067899942;-1.17019999;-1.186699986;-0.488400012;-1.191400051;-1.599599957;-1.831599951;-0.665700018;-1.898699999;-1.230200052;-1.992300034;-1.312100053;-1.958400011;-1.083400011;-1.477200031;-1.519899964;-1.468199968;-1.130399942;-1.431300044;-0.908299983;-1.511199951;-0.966400027;0.192499995;-0.751900017;-0.0601;-1.455199957;-1.960700035;-1.409500003;-1.940700054
30/09/2021;-1.354200006;-1.305600047;0.517499983;-1.316799998;-1.389500022;-1.355499983;-0.093099996;-1.363000035;-1.920600057;-1.733800054;-0.186199993;-1.834400058;-1.475900054;-2.093300104;-0.915400028;-2.070600033;-1.526100039;-2.221600056;-0.967599988;-2.205699921;-1.444700003;-1.529700041;-0.543500006;-1.636500001;-1.333500028;0.635800004;-0.360199988;0.418599993;-1.667199969;-1.929800034;-1.044499993;-1.927999973
31/12/2021;-1.603199959;-1.518399954;0.976300001;-1.535400033;-1.490700006;-1.45720005;0.2412;-1.464599967;-2.253099918;-1.539199948;0.232600003;-1.677800059;-1.721099973;-2.147099972;-0.516300023;-2.138600111;-1.935299993;-2.549200058;-0.708400011;-2.540199995;-1.778599977;-1.554999948;-0.218500003;-1.687399983;-1.658699989;1.286000013;0.037700001;1.158300042;-1.866299987;-1.723799944;-0.612399995;-1.743100047
31/03/2022;-1.848199964;-1.53489995;1.607300043;-1.568400025;-1.426900029;-1.214699984;0.555999994;-1.226400018;-2.376899958;-0.805999994;0.928499997;-0.985499978;-1.890100002;-1.973999977;0.085000001;-1.987300038;-2.226399899;-2.403399944;-0.425199986;-2.413000107;-2.182399988;-1.31309998;0.259200007;-1.485399961;-1.817000031;1.934100032;0.649200022;1.920400023;-1.995800018;-1.25999999;-0.137400001;-1.299200058
30/06/2022;-1.833099961;-1.231600046;2.642999887;-1.28579998;-1.087200046;-0.559199989;1.272699952;-0.578299999;-2.334000111;0.421000004;2.007200003;0.193399996;-1.972499967;-1.218199968;1.386100054;-1.281900048;-2.420900106;-2.072900057;0.392399997;-2.112200022;-2.416199923;-0.569899976;1.333899975;-0.78549999;-1.774600029;2.258699894;1.654099941;2.32949996;-1.971899986;-0.417600006;0.717599988;-0.479900002
30/09/2022;-1.509600043;-0.622399986;3.246299982;-0.694899976;-0.514800012;0.129899994;1.842300057;0.108999997;-1.917999983;1.66050005;2.811700106;1.414499998;-1.466400027;-0.133100003;2.460900068;-0.225700006;-2.296999931;-1.383299947;0.887199998;-1.451900005;-2.269999981;0.46509999;2.308000088;0.231199995;-1.246500015;1.809900045;2.335700035;1.89320004;-1.605499983;0.462700009;1.407899976;0.390700012
31/12/2022;-0.621900022;0.429500014;3.326900005;0.349599987;0.204999998;0.88410002;2.370599985;0.862699986;-1.217599988;2.683000088;3.284399986;2.453099966;-0.3741;1.044199944;2.99180007;0.957499981;-1.420300007;-0.282700002;1.431900024;-0.364800006;-1.532799959;1.738899946;3.077300072;1.522400022;-0.296400011;0.810599983;2.61619997;0.890600026;-0.794799984;1.381199956;2.022799969;1.317800045
31/03/2023;0.488499999;1.442499995;2.372699976;1.378299952;0.725199997;1.16260004;2.324300051;1.147799969;-0.317299992;2.66960001;2.898099899;2.519500017;0.662299991;1.52699995;2.45810008;1.48239994;-0.036899999;0.782500029;1.152199984;0.715799987;-0.390799999;2.401200056;2.900500059;2.253299952;0.702300012;-0.505200028;2.035399914;-0.486699998;0.185399994;1.742300034;1.979500055;1.707900047
30/06/2023;1.592300057;2.247699976;0.971499979;2.210599899;1.150699973;1.312100053;1.847300053;1.304399967;0.603699982;2.251699924;2.088099957;2.200000048;1.715299964;1.792199969;1.465299964;1.804399967;1.286200047;1.593600035;1.344099998;1.555500031;0.841700017;2.664299965;2.321700096;2.600199938;1.560500026;-1.484799981;1.126999974;-1.470000029;1.158100009;1.761199951;1.570299983;1.766199946
30/09/2023;2.266599894;2.587599993;-0.110100001;2.57949996;1.148800015;1.145300031;1.411599994;1.141700029;1.026100039;1.582499981;1.367300034;1.595999956;2.019999981;1.674499989;0.671199977;1.714599967;2.181799889;1.855999947;1.612699986;1.853099942;1.597200036;2.43569994;1.657699943;2.433799982;1.831900001;-1.770599961;0.435699999;-1.732499957;1.710899949;1.541000009;1.140200019;1.575799942
31/12/2023;2.545099974;2.567500114;-0.826399982;2.577899933;1.284199953;1.172899961;0.922500014;1.173499942;1.305400014;1.163400054;0.639400005;1.218500018;2.151200056;1.559200048;0.0592;1.616000056;2.333699942;1.840800047;1.585299969;1.849599957;2.144599915;2.191499949;1.091799974;2.226300001;1.835999966;-1.711899996;0.041700002;-1.655500054;1.886999965;1.252900004;0.674399972;1.299399972
31/03/2024;2.368999958;2.22239995;-0.969699979;2.237699986;1.404299974;1.279800057;0.450700015;1.282500029;1.436800003;0.876600027;0.0403;0.957300007;1.917500019;1.246500015;-0.234400004;1.306599975;2.09010005;1.487100005;1.663599968;1.502699971;2.230400085;1.826099992;0.711000025;1.860200047;1.606600046;-1.386299968;-0.049699999;-1.3204;1.724599957;0.818300009;0.178200006;0.7
30/06/2024;2.010400057;1.780599952;-0.879199982;1.796399951;1.326500058;1.094499946;-0.050000001;1.101500034;1.422099948;0.513400018;-0.386599988;0.612399995;1.577299953;0.779100001;-0.468699992;0.843500018;1.646999955;1.01639998;1.203299999;1.032999992;1.968700051;1.442499995;0.374799997;1.471300006;1.314800024;-1.192399979;-0.086900003;-1.174900055;1.289000034;0.346300006;-0.158899993;0.39410001
30/09/2024;1.614099979;1.402799964;-0.691999972;1.414100051;1.083400011;0.846899986;-0.351399988;0.853399992;1.278699994;0.174799994;-0.598200023;0.281100005;1.199000001;0.306899995;-0.638999999;0.373199999;1.22510004;0.561600029;1.043200016;0.57980001;1.671300054;1.119899988;0.149499997;1.1329;0.979900002;-0.89380002;-0.1193;-0.900699973;0.827400029;-0.039700001;-0.326599985;0.0024
